payment_id,invoice_id,payment_datetime,payment_amount,payment_method,payment_status
PAY000001,INV000001,2026-04-23 06:00:00,1918.47,UPI,COMPLETED
PAY000002,INV000004,2026-08-19 12:00:00,2500.00,CARD,COMPLETED
PAY000003,INV000005,2026-05-16 09:00:00,828.51,UPI,COMPLETED
PAY000004,INV000006,2026-08-18 01:00:00,4600.00,CASH,COMPLETED
PAY000005,INV000007,2026-05-21 09:00:00,4240.95,UPI,COMPLETED
PAY000006,INV000008,2026-06-09 04:00:00,9400.00,UPI,COMPLETED
PAY000007,INV000009,2026-03-04 03:00:00,1500.00,CARD,COMPLETED
PAY000008,INV000010,2026-01-07 02:00:00,3188.85,UPI,COMPLETED
PAY000009,INV000011,2026-07-20 11:00:00,5200.00,UPI,COMPLETED
PAY000010,INV000013,2026-04-22 02:00:00,18100.00,CARD,COMPLETED
PAY000011,INV000014,2026-05-02 05:00:00,9900.00,CASH,COMPLETED
PAY000012,INV000015,2026-07-28 04:00:00,12000.00,BANK_TRANSFER,COMPLETED
PAY000013,INV000017,2026-04-16 10:00:00,9600.00,UPI,COMPLETED
PAY000014,INV000018,2026-03-09 05:00:00,5750.00,CASH,COMPLETED
PAY000015,INV000019,2026-04-22 00:00:00,21900.00,BANK_TRANSFER,COMPLETED
PAY000016,INV000020,2026-07-26 10:00:00,5244.07,CASH,COMPLETED
PAY000017,INV000021,2026-02-09 10:00:00,3300.00,INSURANCE,COMPLETED
PAY000018,INV000023,2026-06-25 00:00:00,5550.00,UPI,COMPLETED
PAY000019,INV000024,2026-07-24 01:00:00,8800.00,CARD,COMPLETED
PAY000020,INV000025,2026-02-20 07:00:00,14400.00,UPI,COMPLETED
PAY000021,INV000026,2026-05-29 11:00:00,11000.00,CARD,COMPLETED
PAY000022,INV000027,2026-07-05 01:00:00,9100.00,INSURANCE,COMPLETED
PAY000023,INV000028,2026-06-21 00:00:00,5000.00,UPI,COMPLETED
PAY000024,INV000029,2026-05-30 07:00:00,16400.00,CARD,COMPLETED
PAY000025,INV000030,2026-08-20 05:00:00,2310.55,BANK_TRANSFER,COMPLETED
PAY000026,INV000031,2026-06-29 03:00:00,4750.23,CASH,COMPLETED
PAY000027,INV000032,2026-07-21 10:00:00,5000.00,CARD,COMPLETED
PAY000028,INV000035,2026-02-19 12:00:00,1557.64,BANK_TRANSFER,COMPLETED
PAY000029,INV000036,2026-05-17 12:00:00,8000.00,BANK_TRANSFER,COMPLETED
PAY000030,INV000037,2026-08-07 03:00:00,7000.00,CARD,COMPLETED
PAY000031,INV000038,2026-08-28 00:00:00,4253.58,UPI,COMPLETED
PAY000032,INV000039,2026-06-01 08:00:00,3000.00,UPI,COMPLETED
PAY000033,INV000040,2026-01-23 10:00:00,800.00,CASH,COMPLETED
PAY000034,INV000041,2026-05-30 05:00:00,2750.00,CARD,COMPLETED
PAY000035,INV000042,2026-02-21 00:00:00,1152.08,CARD,COMPLETED
PAY000036,INV000043,2026-05-24 01:00:00,1000.00,CASH,COMPLETED
PAY000037,INV000044,2026-05-10 12:00:00,17100.00,UPI,COMPLETED
PAY000038,INV000046,2026-03-21 03:00:00,1600.00,BANK_TRANSFER,COMPLETED
PAY000039,INV000048,2026-05-03 00:00:00,1709.37,INSURANCE,COMPLETED
PAY000040,INV000049,2026-02-10 10:00:00,1600.00,CASH,COMPLETED
PAY000041,INV000050,2026-01-22 01:00:00,9500.00,CASH,COMPLETED
PAY000042,INV000051,2026-04-09 02:00:00,7344.72,UPI,COMPLETED
PAY000043,INV000052,2026-06-06 08:00:00,2571.26,UPI,COMPLETED
PAY000044,INV000053,2026-05-14 09:00:00,3300.00,INSURANCE,COMPLETED
PAY000045,INV000056,2026-01-24 07:00:00,500.00,CARD,COMPLETED
PAY000046,INV000057,2026-07-01 07:00:00,2750.00,INSURANCE,COMPLETED
PAY000047,INV000058,2026-06-18 05:00:00,13100.00,INSURANCE,COMPLETED
PAY000048,INV000059,2026-05-06 02:00:00,5751.02,INSURANCE,COMPLETED
PAY000049,INV000064,2026-02-06 11:00:00,5750.00,UPI,COMPLETED
PAY000050,INV000065,2026-06-18 00:00:00,6000.00,BANK_TRANSFER,COMPLETED
PAY000051,INV000066,2026-06-25 05:00:00,2167.23,INSURANCE,COMPLETED
PAY000052,INV000068,2026-02-23 01:00:00,1820.80,BANK_TRANSFER,COMPLETED
PAY000053,INV000069,2026-05-11 10:00:00,4350.00,INSURANCE,COMPLETED
PAY000054,INV000070,2026-04-10 05:00:00,2500.00,BANK_TRANSFER,COMPLETED
PAY000055,INV000071,2026-01-10 09:00:00,2393.49,CARD,COMPLETED
PAY000056,INV000072,2026-08-24 12:00:00,2500.00,BANK_TRANSFER,COMPLETED
PAY000057,INV000074,2026-01-27 11:00:00,912.96,UPI,COMPLETED
PAY000058,INV000075,2026-03-06 02:00:00,1519.27,BANK_TRANSFER,COMPLETED
PAY000059,INV000076,2026-01-13 02:00:00,1500.00,CASH,COMPLETED
PAY000060,INV000078,2026-07-07 06:00:00,1000.00,INSURANCE,COMPLETED
PAY000061,INV000079,2026-06-25 11:00:00,898.06,UPI,COMPLETED
PAY000062,INV000082,2026-01-27 12:00:00,6100.00,BANK_TRANSFER,COMPLETED
PAY000063,INV000085,2026-05-21 07:00:00,1677.12,BANK_TRANSFER,COMPLETED
PAY000064,INV000086,2026-01-31 04:00:00,5000.00,CARD,COMPLETED
PAY000065,INV000088,2026-04-22 10:00:00,2633.20,BANK_TRANSFER,COMPLETED
PAY000066,INV000089,2026-08-19 10:00:00,11500.00,UPI,COMPLETED
PAY000067,INV000091,2026-02-06 09:00:00,10700.00,CASH,COMPLETED
PAY000068,INV000093,2026-05-13 03:00:00,12400.00,CARD,COMPLETED
PAY000069,INV000094,2026-07-23 00:00:00,3475.11,INSURANCE,COMPLETED
PAY000070,INV000095,2026-06-20 02:00:00,750.00,INSURANCE,COMPLETED
PAY000071,INV000096,2026-06-01 08:00:00,3000.00,UPI,COMPLETED
PAY000072,INV000098,2026-06-18 06:00:00,3500.00,CASH,COMPLETED
PAY000073,INV000099,2026-02-05 05:00:00,6750.00,BANK_TRANSFER,COMPLETED
PAY000074,INV000100,2026-03-10 06:00:00,8000.00,INSURANCE,COMPLETED
PAY000075,INV000101,2026-07-29 05:00:00,4870.78,CARD,COMPLETED
PAY000076,INV000102,2026-05-27 01:00:00,11850.00,INSURANCE,COMPLETED
PAY000077,INV000104,2026-04-18 09:00:00,9000.00,INSURANCE,COMPLETED
PAY000078,INV000106,2026-05-27 11:00:00,4750.00,UPI,COMPLETED
PAY000079,INV000107,2026-05-11 12:00:00,5000.00,CARD,COMPLETED
PAY000080,INV000110,2026-08-14 05:00:00,9500.00,CARD,COMPLETED
PAY000081,INV000111,2026-03-14 02:00:00,750.00,UPI,COMPLETED
PAY000082,INV000112,2026-02-01 09:00:00,1000.00,CARD,COMPLETED
PAY000083,INV000114,2026-06-13 07:00:00,8250.00,INSURANCE,COMPLETED
PAY000084,INV000115,2026-07-31 09:00:00,7000.00,BANK_TRANSFER,COMPLETED
PAY000085,INV000116,2026-07-13 05:00:00,6538.79,CARD,COMPLETED
PAY000086,INV000117,2026-06-22 07:00:00,14300.00,INSURANCE,COMPLETED
PAY000087,INV000118,2026-01-30 00:00:00,1355.60,UPI,COMPLETED
PAY000088,INV000120,2026-05-06 00:00:00,4818.16,UPI,COMPLETED
